scenario,distance_m,fuel_flow_kgs,fuel_per_meter_kgpm,height_m,temperature_k,density_kgm3
standard_isa,0.0,15.8079727643133,0.0590952252871525,9499.999999999996,226.4,0.4388991225937826
standard_isa,0.0999998582307186,15.807971385804658,0.0590952245580141,9500.000667546845,226.3999956609455,0.4388990867941889
standard_isa,1.099998028782842,15.807957600548152,0.0590952172656577,9500.007343014368,226.3999522704066,0.4388987287984239
standard_isa,11.09993856086958,15.80781974963358,0.0590951443145725,9500.074097598532,226.39951836560957,0.4388951488579464
standard_isa,111.09522860631424,15.806493292638434,0.05909460604504,9500.74163537622,226.39517937005456,0.4388593511142444
standard_isa,1110.638667622604,15.793267147159083,0.0590890324721574,9507.416230696555,226.3517945004724,0.438501538451891
standard_isa,2446.3789838940447,15.775595006960852,0.0590806928889226,9516.34129118031,226.293781607328,0.4380234313295003
standard_isa,3780.8244780155856,15.75794327587427,0.0590713390632724,9525.263808401667,226.23578524538917,0.4375458591834497
standard_isa,5113.999398937633,15.740311929532384,0.0590609693963277,9534.183783231132,226.1778054089976,0.4370688213959184
standard_isa,6445.927975073471,15.722700943428196,0.0590495823922667,9543.101216538762,226.11984209249803,0.4365923173498311
standard_isa,7776.63441431445,15.705110293085086,0.0590371766595709,9552.01610919428,226.0618952902372,0.4361163464288491
standard_isa,9106.142904045148,15.687539954253202,0.0590237509123453,9560.928462067048,226.00396499656415,0.4356409080173724
standard_isa,10434.477611158534,15.669989902487572,0.0590093039692883,9569.83827602593,225.94605120583145,0.4351660015005448
standard_isa,11761.662682071124,15.65246011340142,0.0589938347551748,9578.745551939575,225.88815391239277,0.4346916262642387
standard_isa,13087.722242738098,15.63495056277794,0.0589773423017798,9587.650290676102,225.83027311060533,0.4342177816950714
standard_isa,14412.68039866845,15.61746122640141,0.0589598257477218,9596.552493103303,225.7724087948285,0.4337444671803912
standard_isa,15736.561234940076,15.59999207986338,0.0589412843381798,9605.452160088604,225.7145609594241,0.4332716821082817
standard_isa,17059.388816214894,15.582543099174286,0.0589217174276254,9614.349292498984,225.65672959875656,0.432799425867562
standard_isa,18381.18718675392,15.565114259985362,0.0589011244772806,9623.24389120115,225.5989147071925,0.4323276978477793
standard_isa,19701.98037043234,15.547705538199647,0.0588795050577927,9632.135957061306,225.5411162791015,0.4318564974392183
standard_isa,21021.792370754603,15.530316909694172,0.0588568588485259,9641.025490945363,225.4833343088551,0.4313858240328899
standard_isa,22340.647170869444,15.5129483504031,0.0588331856381867,9649.9124937188,225.42556879082775,0.4309156770205389
standard_isa,23658.568733584947,15.495599836317233,0.0588084853251067,9658.7969662467,225.36781971939644,0.4304460557946377
standard_isa,24975.58100138356,15.47827134323788,0.0587827579165624,9667.678909393802,225.31008708894024,0.4299769597483864
standard_isa,26291.70789643713,15.460962847433278,0.0587560035314942,9676.558324024478,225.2523708938409,0.429508388275711
standard_isa,27606.9733206219,15.443674324763755,0.058728222397381,9685.435211002665,225.19467112848267,0.4290403407712675
standard_isa,28921.40115553349,15.426405751310291,0.0586994148527964,9694.309571191952,225.13698778725228,0.4285728166304338
standard_isa,30235.01526250192,15.409157103129,0.0586695813466138,9703.18140545554,225.07932086453897,0.4281058152493151
standard_isa,31547.83948260653,15.391928356494606,0.0586387224390445,9712.050714656243,225.0216703547344,0.4276393360247389
standard_isa,32859.897636691014,15.374719487413124,0.0586068387998613,9720.917499656549,224.9640362522324,0.4271733783542523
standard_isa,34171.21352537827,15.357530472163344,0.0585739312105121,9729.781761318469,224.90641855142997,0.4267079416361309
standard_isa,35481.810929085426,15.340361286864406,0.0585400005624926,9738.643500503662,224.84881724672616,0.4262430252693683
standard_isa,36791.71360803872,15.323211907825913,0.0585050478586738,9747.502718073483,224.79123233252236,0.4257786286536742
standard_isa,38100.94530228843,15.306082311359436,0.0584690742125442,9756.359414888804,224.73366380322275,0.425314751189484
standard_isa,39409.52973172377,15.288972473645188,0.0584320808476325,9765.213591810185,224.67611165323376,0.4248513922779461
standard_isa,40717.49059608777,15.271882371185963,0.0583940690991439,9774.0652496978,224.6185758769643,0.4243885513209284
standard_isa,42024.85157499219,15.25481198022021,0.0583550404115896,9782.914389411411,224.5610564688258,0.4239262277210151
standard_isa,43331.63632793235,15.237761277201612,0.0583149963404629,9791.761011810451,224.50355342323203,0.4234644208815043
standard_isa,44637.868494302,15.220730238453797,0.0582739385507305,9800.60511775393,224.44606673459944,0.4230031302064116
standard_isa,45943.57169340817,15.203718840540938,0.0582318688180346,9809.446708100448,224.38859639734707,0.4225423551004661
standard_isa,47248.76952448601,15.186727059897128,0.0581887890270275,9818.285783708316,224.33114240589592,0.4220820949691068
standard_isa,48553.48556671359,15.16975487295945,0.058144701171604,9827.1223454354,224.2737047546699,0.4216223492184877
standard_isa,49857.74337922671,15.152802256456146,0.0580996073557007,9835.956394139224,224.21628343809505,0.4211631172554717
standard_isa,51161.56650113375,15.1358691867767,0.0580535097905461,9844.787930676946,224.15887845059984,0.4207043984876311
standard_isa,52464.97845153037,15.11895564070585,0.05800641079711,9853.616955905272,224.10148978661573,0.4202461923232516
standard_isa,53768.00272951437,15.102061594613076,0.057958312802601,9862.443470680628,224.04411744057592,0.4197884981713225
standard_isa,55070.66281420039,15.085187025417747,0.0579092183437466,9871.267475858982,223.9867614069166,0.4193313154415443
standard_isa,56372.98216473471,15.06833190952175,0.0578591300622453,9880.088972295962,223.92942168007625,0.4188746435443228
standard_isa,57674.984220309976,15.051496223977871,0.0578080507087707,9888.907960846813,223.8720982544957,0.4184184818907689
standard_isa,58976.69240017991,15.034679945245909,0.0577559831376871,9897.72444236639,223.81479112461844,0.4179628298926999
standard_isa,60278.13010367404,15.01788305025356,0.0577029303105852,9906.53841770926,223.75750028488977,0.4175076869626326
standard_isa,61579.32071021244,15.001105515750517,0.0576488952932362,9915.349887729477,223.7002257297584,0.4170530525137935
standard_isa,62880.28757932036,14.98434731859186,0.0575938812560867,9924.158853280842,223.6429674536745,0.416598925960104
standard_isa,64181.054050642975,14.96760843560991,0.0575378914731447,9932.96531521668,223.58572545109155,0.4161453067161947
standard_isa,65481.64344396003,14.950888843716331,0.0574809293217239,9941.769274389995,223.528499716465,0.4156921941973913
standard_isa,66782.07905920049,14.934188519876288,0.0574229982816679,9950.570731653414,223.4712902442528,0.4152395878197202
standard_isa,68082.38417645721,14.917507440828984,0.0573641019335732,9959.369687859184,223.4140970289153,0.4147874869999067
standard_isa,69382.58205600157,14.900845583925964,0.0573042439612833,9968.16614385914,223.3569200649156,0.4143358911553753
standard_isa,70682.69593829809,14.884202925810902,0.057243428146056,9976.960100504835,223.29975934671853,0.4138847997042436
standard_isa,71982.74904401904,14.867579443713383,0.0571816583707572,9985.751558647353,223.2426148687922,0.4134342120653305
standard_isa,73282.76457405911,14.850975114587465,0.057118938615741,9994.54051913743,223.1854866256067,0.4129841276581466
standard_isa,74582.76570954992,14.834389915616867,0.0570552729599596,10003.32698282547,223.12837461163443,0.4125345459028969
standard_isa,75882.77561187463,14.817823823937388,0.0569906655790385,10012.11095056147,223.07127882135043,0.4120854662204804
standard_isa,77182.81742268254,14.80127681656277,0.0569251207441091,10020.892423195048,223.01419924923212,0.4116368880324896
standard_isa,78482.9142639036,14.784748870834996,0.0568586428226344,10029.671401575426,222.9571358897597,0.41118881076121
standard_isa,79783.08923776302,14.76823996377405,0.0567912362749781,10038.44788655156,222.90008873741485,0.4107412338296116
standard_isa,81083.36542679575,14.751750072801896,0.0567229056562352,10047.221878971864,222.8430577866829,0.4102941566613638
standard_isa,82383.76589386103,14.735279175069294,0.0566536556126669,10055.993379684543,222.78604303205043,0.4098475786808165
standard_isa,83684.31368215689,14.718827247879334,0.0565834908823303,10064.762389537347,222.7290444680072,0.4094014993130127
standard_isa,84985.03181523472,14.702394268612007,0.0565124162937667,10073.52890937768,222.67206208904503,0.4089559179836811
standard_isa,86285.94329701364,14.685980214551522,0.0564404367642956,10082.29294005254,222.61509588965848,0.4085108341192381
standard_isa,87587.0711117951,14.669585063083897,0.0563675572997093,10091.054482408565,222.55814586434437,0.4080662471467862
standard_isa,88888.43822427728,14.653208791598129,0.056293782992809,10099.813537292044,222.50121200760168,0.40762215649411
standard_isa,90190.06757956956,14.636851377584208,0.0562191190226753,10108.570105548915,222.44429431393203,0.4071785615896801
standard_isa,91491.98210320702,14.620512798388596,0.0561435706526047,10117.32418802469,222.3873927778395,0.4067354618626503
standard_isa,92794.20470116477,14.604193031726716,0.0560671432309329,10126.075785564524,222.33050739383057,0.4062928567428566
standard_isa,94096.75825987248,14.587892054926929,0.0559898421869682,10134.824899013209,222.2736381564141,0.4058507456608167
standard_isa,95399.66564622874,14.571609845516123,0.0559116730320595,10143.571529215194,222.2167850601012,0.4054091280477273
standard_isa,96702.94970761548,14.55534638114546,0.0558326413581104,10152.315677014518,222.1599480994056,0.404968003335466
standard_isa,98006.63327191232,14.539101639396248,0.0557527528356181,10161.057343254875,222.10312726884328,0.4045273709565893
standard_isa,99310.73914751108,14.52287559792553,0.0556720132129982,10169.796528779543,222.04632256293291,0.4040872303443336
standard_isa,100615.29012332992,14.506668234321232,0.0555904283147793,10178.533234431514,221.98953397619516,0.4036475809326076
standard_isa,101920.30896882796,14.490479526366816,0.0555080040413521,10187.267461053349,221.93276150315324,0.4032084221560008
standard_isa,103225.81843401946,14.474309451681089,0.0554247463663081,10195.999209487192,221.87600513833323,0.4027697534497786
standard_isa,104531.84124948812,14.45815798805356,0.0553406613364288,10204.728480575002,221.81926487626248,0.4023315742498744
standard_isa,105838.40012640164,14.44202511325318,0.055255755069644,10213.45527515818,221.7625407114718,0.4018938839929026
standard_isa,107145.5177565257,14.425910805075937,0.0551700337538902,10222.17959407781,221.7058326384942,0.4014566821161495
standard_isa,108453.2168122386,14.40981504132109,0.0550835036456839,10230.901438174677,221.6491406518646,0.40101996805757
standard_isa,109761.51994654526,14.393737799862524,0.0549961710690459,10239.6208082891,221.59246474612084,0.4005837412557937
standard_isa,111070.44979309171,14.377679058530193,0.0549080424136871,10248.337705261089,221.53580491580288,0.4001480011501194
standard_isa,112380.0289661793,14.36163879534594,0.054819124134538,10257.052129930307,221.47916115545297,0.3997127471805139
standard_isa,113690.28006077888,14.34561698805264,0.0547294227485677,10265.764083135997,221.422533459616,0.3992779787876153
standard_isa,115001.22565254512,14.329613614866572,0.054638944836263,10274.473565717028,221.3659218228393,0.39884369541273
standard_isa,116312.88829783078,14.313628653561327,0.0545476970367302,10283.18057851195,221.30932623967232,0.3984098964978292
standard_isa,117625.29053370084,14.29766208224226,0.054455686049238,10291.88512235894,221.2527467046669,0.3979765814855508
standard_isa,118938.4548779468,14.281713878994273,0.0543629186304538,10300.58719809577,221.19618321237743,0.3975437498192
standard_isa,120252.40382910083,14.265784021766176,0.054269401592576,10309.286806559878,221.1396357573608,0.3971114009427452
standard_isa,121567.15986645,14.249872488742954,0.0541751418033162,10317.983948588331,221.08310433417583,0.3966795343008183
standard_isa,122882.7454500504,14.233979258112438,0.0540801461835677,10326.678625017828,221.0265889373841,0.396248149338715
standard_isa,124199.18302074146,14.218104307857995,0.0539844217051707,10335.37083668472,220.9700895615493,0.3958172455023911
standard_isa,125516.49500015988,14.202247616267218,0.0538879753913916,10344.060584424951,220.9136062012378,0.3953868222384679
standard_isa,126834.70379075402,14.1864091615615,0.0537908143140554,10352.747869074095,220.8571388510184,0.3949568789942247
standard_isa,128153.83177579782,14.170588921965647,0.0536929455923474,10361.432691467446,220.8006875054616,0.3945274152175988
standard_isa,129473.9013194051,14.154786875708368,0.0535943763913482,10370.115052439836,220.74425215914104,0.3940984303571891
standard_isa,130794.93476654356,14.139003001113394,0.0534951139209075,10378.79495282581,220.68783280663223,0.3936699238622506
standard_isa,132116.95444304898,14.123237276416978,0.0533951654334801,10387.472393459497,220.63142944251325,0.3932418951826961
standard_isa,133439.98265563924,14.107489680109412,0.0532945382239414,10396.147375174643,220.5750420613648,0.3928143437690971
standard_isa,134764.04169192843,14.091760190411636,0.0531932396261312,10404.819898804695,220.51867065776943,0.392387269072677
standard_isa,136089.15382044096,14.076048785820776,0.0530912770134363,10413.489965182718,220.4623152263123,0.3919606705453149
standard_isa,137415.3412906255,14.060355444701631,0.0529886577957687,10422.15757514138,220.405975761581,0.3915345476395455
standard_isa,138742.62633286923,14.044680145625716,0.0528853894193651,10430.822729512993,220.34965225816552,0.391108899808556
standard_isa,140071.03115851167,14.029022866853024,0.0527814793633545,10439.485429129556,220.29334471065783,0.390683726506184
standard_isa,141400.57795985887,14.013383587097277,0.0526769351411639,10448.145674822596,220.2370531136531,0.3902590271869233
standard_isa,142731.28891019733,13.99776228473879,0.0525717642960765,10456.80346742344,220.1807774617476,0.3898348013059112
standard_isa,144063.18616380804,13.982158938497642,0.0524659744022913,10465.458807762909,220.12451774954107,0.3894110483189404
standard_isa,145396.29185598053,13.96657352678486,0.0523595730610124,10474.111696671534,220.068273971635,0.3889877676824511
standard_isa,146730.62810302674,13.951006028283215,0.0522525679011617,10482.762134979455,220.0120461226335,0.3885649588535319
standard_isa,148066.21700229513,13.935456421700827,0.0521449665769873,10491.410123516493,219.9558341971428,0.3881426212899175
standard_isa,149403.08063218452,13.91992468561664,0.052036776766025,10500.055663112023,219.89963818977185,0.3877207544499916
standard_isa,150741.24105215812,13.9044107987244,0.0519280061685554,10508.698754595143,219.84345809513155,0.3872993577927822
standard_isa,152080.72030275746,13.888914739743829,0.0518186625058194,10517.339398794536,219.7872939078355,0.3868784307779633
standard_isa,153421.54040561634,13.873436487464344,0.051708753518735,10525.97759653856,219.73114562249933,0.3864579728658512
standard_isa,154763.72336347468,13.857976020679,0.051598286966211,10534.613348655184,219.67501323374128,0.3860379835174082
standard_isa,156107.29116019252,13.842533318075324,0.051487270623307,10543.246655972034,219.6188967361817,0.385618462194237
standard_isa,157452.26576076384,13.827108358585589,0.0513757122811108,10551.877519316417,219.56279612444328,0.3851994083585821
standard_isa,158798.66911133056,13.8117011210365,0.0512636197440157,10560.505939515166,219.50671139315145,0.384780821473332
standard_isa,160146.52313919627,13.796311584215433,0.0511510008285552,10569.131917394854,219.45064253693343,0.3843627010020117
standard_isa,161495.84975284024,13.780939727152788,0.0510378633630479,10577.75545378169,219.394589550419,0.3839450464087865
standard_isa,162846.67084193116,13.765585528709192,0.050924215184671,10586.37654950146,219.3385524282405,0.3835278571584631
standard_isa,164199.00827734108,13.75024896781454,0.0508100641389617,10594.995205379591,219.28253116503265,0.383111132716485
standard_isa,165552.8839111592,13.73493002353195,0.0506954180786756,10603.611422241273,219.2265257554317,0.3826948725489286
standard_isa,166908.31957670572,13.7196286748208,0.0505802848615452,10612.22520091119,219.17053619407724,0.3822790761225113
standard_isa,168265.3370885456,13.704344900709158,0.0504646723495609,10620.836542213732,219.11456247561077,0.3818637429045853
standard_isa,169623.95824250244,13.689078680207928,0.0503485884073086,10629.445446972932,219.05860459467596,0.3814488723631358
standard_isa,170984.20481567222,13.673829992503054,0.0502320409013416,10638.051916012471,219.00266254591887,0.381034463966782
standard_isa,172346.09856643708,13.658598816698744,0.0501150376979126,10646.65595015567,218.94673632398812,0.3806205171847766
standard_isa,173709.66123447916,13.643385131882184,0.0499975866619009,10655.257550225462,218.8908259235345,0.3802070314870051
standard_isa,175074.91454079427,13.628188917208805,0.049879695655826,10663.85671704443,218.8349313392112,0.3797940063439861
standard_isa,176441.8801877057,13.613010151901497,0.0497613725385556,10672.453451434852,218.77905256567345,0.3793814412268635
standard_isa,177810.579858878,13.597848815187335,0.0496426251638002,10681.047754218547,218.72318959757945,0.3789693356074184
standard_isa,179181.03521933054,13.582704886234152,0.0495234613786185,10689.639626217097,218.66734242958887,0.3785576889580551
standard_isa,180553.2679154515,13.567578344424684,0.0494038890231712,10698.22906825165,218.61151105636424,0.3781465007518082
standard_isa,181927.29957501128,13.552469168956405,0.0492839159280247,10706.81608114302,218.55569547257036,0.3777357704623409
standard_isa,183303.1518071764,13.53737733919907,0.0491635499142343,10715.400665711652,218.49989567287423,0.3773254975639427
standard_isa,184680.8462025232,13.52230283450539,0.0490427987914464,10723.982822777643,218.4441116519453,0.3769156815315287
standard_isa,186060.40433305135,13.50724563423234,0.0489216703567841,10732.56255316073,218.38834340445524,0.3765063218406402
standard_isa,187441.8477521977,13.4922057176997,0.0488001723935191,10741.13985768033,218.33259092507785,0.3760974179674403
standard_isa,188825.19799484976,13.477183064398051,0.0486783126706623,10749.714737155437,218.27685420848965,0.3756889693887194
standard_isa,190210.4765773595,13.462177653842303,0.0485560989412826,10758.28719240472,218.2211332493693,0.3752809755818898
standard_isa,191597.70499755692,13.44718946540673,0.0484335389407798,10766.857224246534,218.1654280423975,0.3748734360249835
standard_isa,192986.90473476372,13.43221847861492,0.0483106403868147,10775.424833498832,218.1097385822576,0.3744663501966562
standard_isa,194378.09724980683,13.417264672953506,0.0481874109775349,10783.99002097922,218.05406486363503,0.3740597175761843
standard_isa,195771.303985032,13.402328028057289,0.0480638583911547,10792.552787504928,217.998406881218,0.3736535376434638
standard_isa,197166.5463643176,13.387408523441964,0.0479399902839241,10801.113133892884,217.94276462969623,0.3732478098790089
standard_isa,198563.84579308788,13.372506138709811,0.0478158142898155,10809.67106095962,217.88713810376245,0.3728425337639528
standard_isa,199963.22365832687,13.357620853508148,0.0476913380193359,10818.226569521346,217.8315272981112,0.3724377087800454
standard_isa,200668.44247343732,13.350134290451036,0.047628567326071,10822.532367970289,217.8035396081931,0.3722340965595405
