distance_m,height_m,airspeed_mps,mass_kg,time_s,temperature_k,density_kgm3,groundspeed_mps,gamma_rad,mach,cl,cd,drag_n,thrust_n,fuel_per_meter_kgpm,dm_dx,dt_dx,constraint_violation,path_residual
0.0,9500.0,240.0,72450.0,0.0,226.39999999999998,0.43889912259378233,239.83125826487083,0.03750127912162186,0.7956649678178758,0.5001688639914109,0.03325760016279063,47209.3329868979,72018.16991391499,0.09038633788156047,-0.09038633788156047,0.004169598271863274,0.0,6.938893903907228e-18
9489.0655,9854.927208340885,239.00663602547812,71610.83384006436,39.647760650549316,224.09297314578424,0.4201782257735062,238.84181306264668,0.03714016576242136,0.7964399685785534,0.5207107984406397,0.03420128810257098,46094.13665786797,70399.97775546115,0.08650625799065595,-0.08650625799065595,0.004186871583233654,0.0,6.938893903907228e-18
18978.131,10202.70730225552,238.0466260753565,70807.75854137726,79.45721254661737,221.8324025353391,0.4024329979461976,237.8923867703231,0.036000204260297104,0.7972724287326814,0.5419417758200297,0.035216539977053526,45093.51502687624,68430.74769166196,0.08278596869298067,-0.08278596869298067,0.00420358134859299,0.0,4.472333961502706e-19
28467.196500000002,10536.061230047579,237.15163227013997,70039.19824570275,119.42031278301484,219.66560200469073,0.38596760175331646,237.0136852708121,0.03410979598054085,0.7981826755413747,0.5631917679042887,0.03627332353458212,44212.00371478208,66144.09482659568,0.07922566814450818,-0.07922566814450818,0.004219165652217082,0.0,0.0
37956.262,10848.069482621557,236.35005980490072,69303.88704068436,159.5239091052016,217.63754836295988,0.37102824939752344,236.23269354966885,0.031515683974629984,0.7991825831039746,0.5837063037730033,0.03733208720789537,43446.06449561881,63573.87096777292,0.07576435532396246,-0.07576435532396246,0.004233114328816414,0.0,6.938893903907228e-18
47445.3275,11132.342549076275,235.6657342260642,68601.38168020535,199.75036194754492,216.64999999999998,0.3563999309309786,235.57149045733394,0.028281834333815467,0.7986827426444791,0.6050615757510905,0.038474477970267665,42761.50572222699,60731.16991839807,0.07228097566033193,-0.07228097566033193,0.004244995852675633,0.0,3.469446951953614e-18
56934.393000000004,11383.177153115977,235.1169145886176,67932.38460597742,240.07839729607036,216.64999999999998,0.3425779995837865,235.04642319251022,0.024487923965680627,0.7968227659504022,0.6263114201032094,0.03965196977282645,42163.994102108256,57674.13887740035,0.0687073680147847,-0.0687073680147847,0.004254478695814782,0.0,1.0842021724855044e-19
66423.45850000001,11595.695583786257,234.7157059653729,67297.84266764023,280.4841273277386,216.64999999999998,0.33128774401797045,234.66769067205578,0.02022744919930858,0.795463050230007,0.6438630960415833,0.04065518588999139,41663.46481173717,54471.17283481256,0.06500948841475783,-0.06500948841475783,0.004261345041305594,0.0,9.486769009248164e-20
75912.524,11765.966375266386,234.4678992721048,66699.12192305917,320.9421593073007,216.64999999999998,0.32251101694731776,234.43934993538144,0.015605429280443608,0.7946232211811425,0.6569416670997854,0.04142075592873304,41236.24587873158,51161.94430558362,0.061156594508176454,-0.061156594508176454,0.0042654955333890415,0.0,1.734723475976807e-18
85401.5895,11891.099918241327,234.37322885475115,66137.63309660976,361.4267055911206,216.64999999999998,0.3162095022496628,234.35972229603743,0.010735825338632548,0.7943023784891506,0.6649723879930741,0.041898472455694516,40863.81157982072,47794.81291050991,0.05716988894994325,-0.05716988894994325,0.004266944806910228,0.0,1.734723475976807e-18
94890.655,11969.318469715756,234.42600232373783,65614.35622683499,401.91261037388637,216.64999999999998,0.3123332367821841,234.42214211449658,0.0057387608389278125,0.7944812303663129,0.6676254298561163,0.04205756715657538,40534.39289407196,44427.07634767155,0.05311732414020322,-0.05311732414020322,0.004265808643244884,0.0,8.673617379884035e-19
104379.72050000001,11999.999970167246,234.61602611455177,65129.45283511288,442.37622173707143,216.64999999999998,0.3108257654701103,234.61596231058502,0.0007374965796544705,0.7951252303220697,0.6648380478076923,0.04189043334157345,40243.61397310713,41124.23251910598,0.049100999231075027,-0.049100999231075027,0.004262284586912284,0.0,1.0842021724855044e-19
113868.78600000001,11983.692264664825,234.92972710424883,64682.01512587661,482.7960586668495,216.64999999999998,0.311626102351227,234.92770926723517,-0.004144664331698697,0.7961883783764288,0.6568118054818474,0.041413078651914584,39994.2036780364,37958.36222127831,0.04524157202350917,-0.04524157202350917,0.004256628573611464,0.0,8.673617379884035e-19
123357.8515,11922.09884936782,235.35135744390632,64269.96097749522,523.1532485891529,216.64999999999998,0.3146675709131179,235.34227067046186,-0.008787450496591577,0.7976173042962943,0.643986525331398,0.04066233901637833,39794.909390269066,35005.72556087164,0.04166371478110937,-0.04166371478110937,0.004249130413975866,0.0,1.734723475976807e-18
132846.91700000002,11818.03710705528,235.8641677179773,63890.050853873196,563.4317378124748,216.64999999999998,0.31987370876343085,235.84400188519916,-0.013076610522949755,0.7993552434901119,0.6269956586503964,0.03969056001849,39658.7909062269,32343.69209258091,0.038485282283906526,-0.038485282283906526,0.004240090873656248,0.0,6.776263578034403e-20
142335.9825,11675.367393086532,236.45144266352975,63537.98565806277,603.618301368334,216.64999999999998,0.3271516612892547,236.41764990619254,-0.01690678387902579,0.8013455471112156,0.606609515924143,0.03855887971643754,39601.0986184967,30047.151640739605,0.03581109272242106,-0.03581109272242106,0.004229802641202072,0.0,1.6263032587282567e-19
151825.048,11498.897263180022,237.09731293426043,63208.54322055721,643.7023972916647,216.64999999999998,0.33638335663720836,237.04901816331056,-0.020184086990112732,0.8035344331659227,0.5836741518261543,0.03733039819794913,39636.9425455135,28184.677016527312,0.03373078667538258,-0.03373078667538258,0.004218536772470698,0.0,5.421010862427522e-20
161314.1135,11294.262667962043,237.7872837486734,62895.72183066693,683.6759216571695,216.64999999999998,0.3474150942019826,237.72532671612112,-0.022828397159730784,0.8058727781281622,0.5590529099705449,0.036064307026594036,39778.947453404995,26814.64297518409,0.0323191908750637,-0.0323191908750637,0.004206535390291614,0.0,1.3552527156068805e-20
170803.179,11067.789619003273,238.50845390750052,62592.87361086232,723.5329242055485,216.64999999999998,0.36004638121346766,238.43525770656626,-0.024775275183921447,0.8083168592002661,0.5335762604448896,0.034811663156965864,40035.064980657495,25981.54156776561,0.03163741323266933,-0.03163741323266933,0.004194010607402133,0.0,6.776263578034403e-20
180292.2445,10826.336266800354,239.24943328527874,62293.10928151284,763.2693405774513,217.77881426579768,0.3720542889827616,239.1687112640667,-0.02597752457808201,0.8087239595070215,0.5106886648831286,0.03373613105980505,40341.60629001743,25647.54750550195,0.03165274798780588,-0.03165274798780588,0.004181148925019284,0.0,8.131516293641283e-20
189781.31,10577.124,240.0,61989.785554391994,802.8827871886949,219.39869399999998,0.3839756171539512,239.91632975582448,-0.02640629758087371,0.8082606378430423,0.4893431188855782,0.03277555096002993,40702.95052863315,25830.952539619237,0.03240761778215988,-0.03240761778215988,0.004168119781666187,0.0,4.0657581468206416e-20
