distance_m,height_m,strategy
0.0,9500.0,q1_constant_speed
0.0999998588455818,9500.000557896024,q1_constant_speed
1.0999981031806303,9500.006136856253,q1_constant_speed
11.099946135874838,9500.061926458546,q1_constant_speed
111.09598681787398,9500.619822481483,q1_constant_speed
1110.7138498286165,9506.19878271087,q1_constant_speed
2446.739878088738,9513.660652316994,q1_constant_speed
3781.677206109838,9521.122521923118,q1_constant_speed
5115.542537741323,9528.584391529244,q1_constant_speed
6448.352576832596,9536.046261135369,q1_constant_speed
7780.124027233065,9543.508130741491,q1_constant_speed
9110.873592792135,9550.970000347615,q1_constant_speed
10440.617977359214,9558.431869953742,q1_constant_speed
11769.373884783705,9565.893739559866,q1_constant_speed
13097.15801891501,9573.35560916599,q1_constant_speed
14423.98708360254,9580.817478772116,q1_constant_speed
15749.8777826957,9588.27934837824,q1_constant_speed
17074.8468200439,9595.741217984363,q1_constant_speed
18398.91089949653,9603.203087590487,q1_constant_speed
19722.086724903016,9610.664957196612,q1_constant_speed
21044.39100011275,9618.126826802736,q1_constant_speed
22365.84042897514,9625.58869640886,q1_constant_speed
23686.4517153396,9633.050566014985,q1_constant_speed
25006.24156305552,9640.512435621107,q1_constant_speed
26325.22667597232,9647.974305227232,q1_constant_speed
27643.4237579394,9655.436174833358,q1_constant_speed
28960.84951280616,9662.898044439482,q1_constant_speed
30277.520644422017,9670.359914045604,q1_constant_speed
31593.45385663637,9677.821783651729,q1_constant_speed
32908.665853298626,9685.283653257857,q1_constant_speed
34223.17333825819,9692.74552286398,q1_constant_speed
35536.99301536447,9700.207392470104,q1_constant_speed
36850.14158846687,9707.669262076226,q1_constant_speed
38162.63576141479,9715.131131682352,q1_constant_speed
39474.492238057646,9722.593001288476,q1_constant_speed
40785.72772224483,9730.0548708946,q1_constant_speed
42096.35891782576,9737.516740500729,q1_constant_speed
43406.40252864984,9744.978610106851,q1_constant_speed
44715.87525856648,9752.440479712976,q1_constant_speed
46024.79381142507,9759.9023493191,q1_constant_speed
47333.17489107503,9767.364218925224,q1_constant_speed
48641.03520136576,9774.82608853135,q1_constant_speed
49948.39144614666,9782.287958137473,q1_constant_speed
51255.26032926715,9789.7498277436,q1_constant_speed
52561.65855457662,9797.211697349723,q1_constant_speed
53867.602825924485,9804.673566955847,q1_constant_speed
55173.10984716015,9812.135436561972,q1_constant_speed
56478.196322133015,9819.597306168096,q1_constant_speed
57782.87895469249,9827.05917577422,q1_constant_speed
59087.17444868798,9834.521045380345,q1_constant_speed
60391.099507968895,9841.98291498647,q1_constant_speed
61694.67083638464,9849.444784592592,q1_constant_speed
62997.905137784604,9856.90665419872,q1_constant_speed
64300.81911601822,9864.368523804842,q1_constant_speed
65603.42947493488,9871.830393410968,q1_constant_speed
66905.75291838398,9879.292263017092,q1_constant_speed
68207.80615021495,9886.75413262322,q1_constant_speed
69509.60587427717,9894.216002229345,q1_constant_speed
70811.16879442005,9901.677871835467,q1_constant_speed
72112.511614493,9909.139741441591,q1_constant_speed
73413.65103834544,9916.601611047716,q1_constant_speed
74714.60376982676,9924.063480653842,q1_constant_speed
76015.38651278637,9931.525350259964,q1_constant_speed
77316.01597107366,9938.98721986609,q1_constant_speed
78616.50884853807,9946.449089472217,q1_constant_speed
79916.88184902897,9953.91095907834,q1_constant_speed
81217.15167639579,9961.372828684463,q1_constant_speed
82517.33503448793,9968.834698290588,q1_constant_speed
83817.4486271548,9976.296567896712,q1_constant_speed
85117.50915824578,9983.758437502836,q1_constant_speed
86417.5333316103,9991.22030710896,q1_constant_speed
87717.53785109776,9998.682176715083,q1_constant_speed
89017.53942055757,10006.14404632121,q1_constant_speed
90317.55474383912,10013.605915927334,q1_constant_speed
91617.60052479184,10021.067785533458,q1_constant_speed
92917.69346726513,10028.529655139582,q1_constant_speed
94217.85027510836,10035.991524745708,q1_constant_speed
95518.08765217096,10043.45339435183,q1_constant_speed
96818.42230230237,10050.915263957955,q1_constant_speed
98118.87092935196,10058.37713356408,q1_constant_speed
99419.45023716912,10065.839003170204,q1_constant_speed
100720.17692960329,10073.300872776328,q1_constant_speed
102021.06771050383,10080.762742382452,q1_constant_speed
103322.13928372024,10088.224611988577,q1_constant_speed
104623.4083531018,10095.6864815947,q1_constant_speed
105924.89162249802,10103.148351200827,q1_constant_speed
107226.60579575824,10110.610220806951,q1_constant_speed
108528.56757673192,10118.072090413076,q1_constant_speed
109830.79366926842,10125.5339600192,q1_constant_speed
111133.30077721715,10132.995829625324,q1_constant_speed
112436.10560442752,10140.457699231449,q1_constant_speed
113739.22485474896,10147.919568837571,q1_constant_speed
115042.67523203087,10155.381438443696,q1_constant_speed
116346.47344012265,10162.843308049822,q1_constant_speed
117650.63618287366,10170.305177655946,q1_constant_speed
118955.18016413336,10177.767047262072,q1_constant_speed
120260.12208775114,10185.228916868196,q1_constant_speed
121565.4786575764,10192.69078647432,q1_constant_speed
122871.26657745856,10200.152656080443,q1_constant_speed
124177.50255124702,10207.61452568657,q1_constant_speed
125484.20328279118,10215.076395292694,q1_constant_speed
126791.38547594043,10222.538264898818,q1_constant_speed
128099.06583454424,10230.000134504942,q1_constant_speed
129407.26106245194,10237.462004111068,q1_constant_speed
130715.98786351296,10244.92387371719,q1_constant_speed
132025.26294157674,10252.385743323315,q1_constant_speed
133335.10300049264,10259.84761292944,q1_constant_speed
134645.5247441101,10267.309482535564,q1_constant_speed
135956.5448762785,10274.77135214169,q1_constant_speed
137268.18010084724,10282.233221747814,q1_constant_speed
138580.44712166575,10289.69509135394,q1_constant_speed
139893.36264258344,10297.156960960065,q1_constant_speed
141206.94336744968,10304.618830566187,q1_constant_speed
142521.2060001139,10312.080700172311,q1_constant_speed
143836.16724442548,10319.542569778436,q1_constant_speed
145151.84380423385,10327.004439384562,q1_constant_speed
146468.25238338843,10334.466308990684,q1_constant_speed
147785.40968573862,10341.928178596809,q1_constant_speed
149103.3324151338,10349.390048202937,q1_constant_speed
150422.03727542338,10356.851917809056,q1_constant_speed
151741.5409704568,10364.313787415183,q1_constant_speed
153061.8602040834,10371.775657021308,q1_constant_speed
154383.01168015267,10379.237526627432,q1_constant_speed
155705.01210251395,10386.699396233556,q1_constant_speed
157027.8781750167,10394.16126583968,q1_constant_speed
158351.62660151027,10401.623135445803,q1_constant_speed
159676.2740858441,10409.085005051931,q1_constant_speed
161001.8373318676,10416.546874658054,q1_constant_speed
162328.33304343015,10424.008744264178,q1_constant_speed
163655.77792438117,10431.470613870302,q1_constant_speed
164984.18867857003,10438.932483476428,q1_constant_speed
166313.5820098462,10446.394353082553,q1_constant_speed
167643.97462205903,10453.856222688675,q1_constant_speed
168975.38321905796,10461.3180922948,q1_constant_speed
170307.82450469237,10468.779961900926,q1_constant_speed
171641.3151828117,10476.24183150705,q1_constant_speed
172975.87195726534,10483.703701113174,q1_constant_speed
174311.51153190268,10491.1655707193,q1_constant_speed
175648.25061057313,10498.627440325425,q1_constant_speed
176986.1058971261,10506.089309931547,q1_constant_speed
178325.094095411,10513.551179537671,q1_constant_speed
179665.23190927727,10521.013049143796,q1_constant_speed
181006.53604257427,10528.474918749922,q1_constant_speed
182349.02319915144,10535.936788356046,q1_constant_speed
183692.7100828581,10543.39865796217,q1_constant_speed
185037.61339754376,10550.860527568291,q1_constant_speed
186383.74984705777,10558.32239717442,q1_constant_speed
187731.13613524957,10565.784266780542,q1_constant_speed
189079.7889659685,10573.246136386668,q1_constant_speed
0.0,9500.0,q4_configured_wind_local
4744.53275,9526.85092546878,q4_configured_wind_local
9489.0655,9552.861015802544,q4_configured_wind_local
14233.59825,9578.02151732656,q4_configured_wind_local
18978.131,9602.324292374697,q4_configured_wind_local
23722.66375,9625.761813891962,q4_configured_wind_local
28467.1965,9648.327154258192,q4_configured_wind_local
33211.729250000004,9670.013968929376,q4_configured_wind_local
37956.262,9690.816475538291,q4_configured_wind_local
42700.79475,9710.729429123008,q4_configured_wind_local
47445.3275,9729.748131813923,q4_configured_wind_local
52189.860250000005,9748.445317365506,q4_configured_wind_local
56934.393,9767.38867531461,q4_configured_wind_local
61678.92575,9786.580217255883,q4_configured_wind_local
66423.45850000001,9806.01925075358,q4_configured_wind_local
71167.99125,9825.7049574303,q4_configured_wind_local
75912.524,9845.63638930742,q4_configured_wind_local
80657.05675,9865.81246542843,q4_configured_wind_local
85401.5895,9886.23196879436,q4_configured_wind_local
90146.12225,9906.893543639217,q4_configured_wind_local
94890.655,9927.79367357446,q4_configured_wind_local
99635.18775,9950.235520051843,q4_configured_wind_local
104379.7205,9975.517956321177,q4_configured_wind_local
109124.25325,10003.63818327153,q4_configured_wind_local
113868.786,10034.590898199536,q4_configured_wind_local
118613.31875,10068.367130161463,q4_configured_wind_local
123357.8515,10104.953390719864,q4_configured_wind_local
128102.38425,10144.330768439471,q4_configured_wind_local
132846.91700000002,10186.473985113138,q4_configured_wind_local
137591.44975,10231.350437574312,q4_configured_wind_local
142335.9825,10278.918623421216,q4_configured_wind_local
147080.51525,10325.8696886102,q4_configured_wind_local
151825.048,10368.937003511064,q4_configured_wind_local
156569.58075000002,10408.146526921078,q4_configured_wind_local
161314.1135,10443.527893934835,q4_configured_wind_local
166058.64625000002,10475.112739364731,q4_configured_wind_local
170803.179,10502.932814081129,q4_configured_wind_local
175547.71175000002,10527.018405108132,q4_configured_wind_local
180292.2445,10547.39704725257,q4_configured_wind_local
185036.77725,10564.09250521064,q4_configured_wind_local
189781.31,10577.124000630612,q4_configured_wind_local
