distance_m,height_m,airspeed_mps,mass_kg,time_s,thrust_n,gamma_rad,groundspeed_mps,fuel_per_meter_kgpm
0.0,9500.0,240.0,72450.0,0.0,47698.02032464898,0.0064057749193583,267.49507594255977,0.0536724052475728
4744.53275,9526.85092546878,239.0505985710924,72197.73193069275,17.795536921618332,47699.33678489923,0.006193596221194,265.7621149213644,0.0527284139594374
9489.0655,9552.861015802544,238.20066337154483,71949.14525455207,35.70186901674848,47700.65324514948,0.0059814175230297,264.19440042500605,0.0521080498194744
14233.59825,9578.02151732656,237.4479655884846,71702.87589206293,53.70928952693597,47701.96970539973,0.0057692388248653,262.7859891717378,0.051740469073877
18978.131,9602.324292374697,236.7904092574848,71457.87608227968,71.80814215357879,47703.28616564998,0.005557060126701,261.531132167435,0.0515631521724024
23722.66375,9625.761813891962,236.22599439111676,71213.37520009626,89.98885292682421,47704.60262590024,0.0053448814285367,260.42424677393285,0.0515217742231281
28467.1965,9648.327154258192,235.7527805400105,70968.8411823283,108.24196196460194,47705.91908615049,0.0051327027303723,259.4598888490422,0.0515700746532295
33211.729250000004,9670.013968929376,235.36885202725423,70723.94260453417,126.5581549735668,47707.23554640074,0.004920524032208,258.6327261308962,0.0516697105739689
37956.262,9690.816475538291,235.0722859614112,70478.51152367548,144.92829426523107,47708.55200665099,0.0047083453340437,257.9375139183407,0.0517900780006526
42700.79475,9710.729429123008,234.86112397905413,70232.5072745883,163.34344898718274,47709.86846690125,0.0044961666358793,257.3690739590993,0.0519080863079322
47445.3275,9729.748131813923,234.7333465026989,69985.98148754114,181.7949232106507,47711.184927151495,0.004283987937715,256.92227469568485,0.0520078746074433
52189.860250000005,9748.445317365506,234.66284844848605,69739.03445982074,200.2750953420605,47710.77171905661,0.0043365958432039,256.559034660389,0.0520877064568662
56934.393,9767.38867531461,234.62493426565084,69491.73747566664,218.77963871116015,47710.35851096173,0.0043892037486928,256.2459150829053,0.0521551266127677
61678.92575,9786.580217255883,234.6190519385193,69244.15267896818,237.3049873347652,47709.94530286685,0.0044418116541816,255.9831775716491,0.0522089019646342
66423.45850000001,9806.01925075358,234.6447371301212,68996.34585951362,255.84752175661413,47709.53209477197,0.0044944195596705,255.77122317723385,0.0522487513715042
71167.99125,9825.7049574303,234.70150292066225,68748.38186603777,274.4035736165297,47709.11888667709,0.0045470274651594,255.6104395001505,0.0522753455453016
75912.524,9845.63638930742,234.78883938342955,68500.32019614792,292.9694308109273,47708.705678582206,0.0045996353706483,255.50119944486372,0.0522902613740261
80657.05675,9865.81246542843,234.90621397166728,68252.21081675499,311.54134288136214,47708.29247048733,0.0046522432761372,255.44386072852555,0.0522959304865909
85401.5895,9886.23196879436,235.05307268671845,68004.0902413422,330.11552655998685,47707.879262392446,0.004704851181626,255.43876611595564,0.0522955825193261
90146.12225,9906.893543639217,235.22884198513503,67755.97788762748,348.68817140178214,47707.46605429757,0.0047574590871149,255.4862443404063,0.0522931837890518
94890.655,9927.79367357446,235.43301576408768,67507.87272814222,367.255444957534,47707.052846202685,0.0048100669926038,255.5867047998519,0.0522933646900781
99635.18775,9950.235520051843,235.6111113309861,67259.75333110808,385.81492832450647,47704.146193060966,0.0054579485917624,255.6818971100408,0.0522998540894484
104379.7205,9975.517956321177,235.7119819172228,67011.59266053695,404.3694710214124,47701.23953991925,0.006105830190921,255.72556923642463,0.0523086480534122
109124.25325,10003.63818327153,235.73963869289625,66763.40535200089,422.922205882576,47698.332886777534,0.0067537117900796,255.73465945303124,0.0523098913815629
113868.786,10034.590898199536,235.69794930978432,66515.24040175376,441.474988742019,47695.426233635815,0.0074015933892382,255.72738905712143,0.0522988013829984
118613.31875,10068.367130161463,235.5906451423885,66267.15919773567,460.02830747740296,47692.519580494096,0.0080494749883968,255.7232346824588,0.0522748020805019
123357.8515,10104.953390719864,235.42131699178285,66019.21740584249,478.5811931374594,47689.612927352384,0.0086973565875554,255.7428693682011,0.0522407623513767
128102.38425,10144.330768439471,235.1934144481756,65771.45025491642,497.13113640564114,47686.706274210665,0.009345238186714,255.8080855151709,0.0522023227761571
132846.91700000002,10186.473985113138,234.9102481547492,65523.86083237835,515.6740134245549,47683.79962106895,0.0099931197858726,255.9416953104386,0.0521672974448341
137591.44975,10231.350437574312,234.57499435401132,65276.411066039145,534.2040257330821,47680.89296792723,0.0106410013850312,256.1674046582071,0.0521451377646669
142335.9825,10278.918623421216,234.19072763376252,65029.015126163904,552.7136596327315,47677.98631478552,0.0112888829841898,256.50967324506854,0.0521464367937021
147080.51525,10325.8696886102,233.8953201393597,64781.63396349417,571.1917609840001,47674.83492149546,0.0104256659683071,257.0683403044362,0.0521177506792272
151825.048,10368.937003511064,233.818984282123,64534.64924946169,589.6200366015975,47671.683528205394,0.0095624489524243,257.8917294861459,0.0519750090841324
156569.58075000002,10408.146526921078,233.95280820002364,64288.62765227901,607.9813095329844,47668.53213491534,0.0086992319365415,258.9414634981951,0.0517147730082068
161314.1135,10443.527893934835,234.28771742785975,64044.05334519267,626.2613790653751,47665.38074162528,0.0078360149206587,260.1820342460477,0.0513741090952962
166058.64625000002,10475.112739364731,234.8144824371055,63801.15227130159,644.4488029045177,47662.22934833522,0.006972797904776,261.5807375838592,0.0510236428715939
170803.179,10502.932814081129,235.52377067477792,63559.74931015086,662.5346552319478,47659.07795504516,0.0061095808888932,263.1076174574595,0.0507606910432123
175547.71175000002,10527.018405108132,236.40621578056692,63319.1572407163,680.512271854012,47655.9265617551,0.0052463638730104,264.7354143059028,0.050702768434609
180292.2445,10547.39704725257,237.45249691616056,63078.09517215416,698.3769911437533,47652.77516846504,0.0043831468571276,266.4395217741574,0.0509816899765983
185036.77725,10564.09250521064,238.6534208673245,62834.63324143615,716.1258972532909,47649.62377517498,0.0035199298412449,268.1979530551596,0.0517384143940204
189781.31,10577.124000630612,239.9999999848631,62586.15985891313,733.7575702175238,47646.47238188492,0.0026567128253621,269.99131637371346,0.053118701643863
